user_id,subscription_start_date,subscription_end_date,plan_type,is_churned,mrr
U00518,2024-02-19,,free,False,0.0
U00519,2023-07-25,2024-01-21,enterprise,True,199.0
U00520,2024-05-06,2024-12-02,enterprise,True,199.0
U00521,2023-07-03,2023-09-01,free,True,0.0
U00522,2024-06-30,,free,False,0.0
U00523,2023-03-26,2023-07-24,pro,True,49.0
U00524,2024-02-08,,free,False,0.0
U00525,2023-03-04,2023-11-29,free,True,0.0
U00526,2023-05-05,2024-07-28,enterprise,True,199.0
U00527,2024-04-03,2024-08-31,enterprise,True,199.0
U00528,2023-05-19,,free,False,0.0
U00529,2024-04-17,,free,False,0.0
U00530,2023-07-06,,free,False,0.0
U00531,2023-02-21,,free,False,0.0
U00532,2023-10-30,2023-12-29,free,True,0.0
U00533,2024-01-24,,free,False,0.0
U00534,2023-12-02,,free,False,0.0
U00535,2023-09-07,2023-12-06,pro,True,49.0
U00536,2024-05-21,2024-10-18,free,True,0.0
U00537,2023-12-01,,free,False,0.0
U00538,2023-12-31,2025-06-23,free,True,0.0
U00539,2024-01-24,,free,False,0.0
U00540,2023-10-12,,free,False,0.0
U00541,2024-03-07,,free,False,0.0
U00542,2023-11-11,2024-02-09,free,True,0.0
U00543,2023-03-25,,free,False,0.0
U00544,2024-06-13,,pro,False,49.0
U00545,2023-03-05,2023-11-30,free,True,0.0
U00546,2023-02-23,,free,False,0.0
U00547,2023-12-25,,free,False,0.0
U00548,2023-09-14,2025-03-07,enterprise,True,199.0
U00549,2023-03-20,2023-04-19,enterprise,True,199.0
U00550,2023-03-22,2023-11-17,free,True,0.0
U00551,2023-02-01,,free,False,0.0
U00552,2023-09-15,2024-06-11,free,True,0.0
U00553,2023-07-24,,free,False,0.0
U00554,2023-01-21,,free,False,0.0
U00555,2023-07-06,2023-10-04,free,True,0.0
U00556,2023-09-02,,free,False,0.0
U00557,2023-05-10,,free,False,0.0
U00558,2024-04-29,,free,False,0.0
U00559,2023-06-17,2023-08-16,enterprise,True,199.0
U00560,2023-08-12,,free,False,0.0
U00561,2024-06-15,,pro,False,49.0
U00562,2023-09-20,,free,False,0.0
U00563,2024-01-20,2025-07-13,free,True,0.0
U00564,2023-08-18,2023-10-17,pro,True,49.0
U00565,2023-05-24,2024-11-14,free,True,0.0
U00566,2023-07-29,2024-06-23,free,True,0.0
U00567,2023-11-15,,free,False,0.0
U00568,2023-05-22,2024-01-17,free,True,0.0
U00569,2023-03-09,2023-06-07,free,True,0.0
